Codigo Localidad,Localidad,TipoSector,Codigo Barrio,Barrio,BarrioAnt
5,USME,URBANO,2616,EL NUEVO PORTAL,
5,USME,URBANO,2617,EL REFUGIO I,
5,USME,URBANO,2618,PUERTA AL LLANO DE,
,,,,USME,
5,USME,URBANO,2619,VILLA ANITA,
5,USME,URBANO,2620,EL NUEVO PORTAL II,
5,USME,URBANO,2621,SAN FELIPE DE USME,
5,USME,URBANO,2622,TOCAIMITA ORIENTAL I,
5,USME,URBANO,2625,ARRAYANES V,
5,USME,URBANO,2626,BOLONIA I,
5,USME,URBANO,2627,LA REFORMA,
5,USME,URBANO,2629,EL NEVADO II,
5,USME,URBANO,2630,EL PORTAL DEL DIVINO,
5,USME,URBANO,2631,EL NEVADO,
5,USME,URBANO,2632,LA REQUILINA,
5,USME,URBANO,2633,LAS VIOLETAS,
5,USME,URBANO,2634,EL TUNO,
5,USME,URBANO,2635,BRISAS DEL LLANO,
5,USME,URBANO,2636,LA HUERTA,
18,RAFAEL URIBE URIBE,URBANO,2637,ARRAYANES VI,
5,USME,URBANO,2640,EL PEDREGAL II,
5,USME,URBANO,2642,EL PORTAL URBANO,
3,SANTA FE,URBANO,3101,LA ALAMEDA,
3,SANTA FE,URBANO,3102,LAS NIEVES,
17,LA CANDELARIA,URBANO,3103,LAS AGUAS,
17,LA CANDELARIA,URBANO,3104,LA CONCORDIA,
17,LA CANDELARIA,URBANO,3105,EGIPTO,
17,LA CANDELARIA,URBANO,3106,CENTRO,
,,,,ADMINISTRATIVO,
3,SANTA FE,URBANO,3107,SANTA INES,
3,SANTA FE,URBANO,3108,LA CAPUCHINA,
3,SANTA FE,URBANO,3109,VERACRUZ,
17,LA CANDELARIA,URBANO,3110,LA CATEDRAL,
3,SANTA FE,URBANO,3201,SAN BERNARDINO,
3,SANTA FE,URBANO,3202,LAS CRUCES,
17,LA CANDELARIA,URBANO,3203,SANTA BARBARA,
17,LA CANDELARIA,URBANO,3204,BELEN,
3,SANTA FE,URBANO,3205,EL GUAVIO,
3,SANTA FE,URBANO,3206,LA PEÑA,
3,SANTA FE,URBANO,3207,LOS LACHES,
3,SANTA FE,URBANO,3208,EL ROCIO,
3,SANTA FE,URBANO,3209,EL DORADO,
3,SANTA FE,URBANO,3210,RAMIREZ,
3,SANTA FE,URBANO,3211,GIRARDOT,
3,SANTA FE,URBANO,3212,LOURDES,
3,SANTA FE,URBANO,3215,SAN FRANCISCO RURAL,
14,LOS MARTIRES,URBANO,4101,RICAURTE,
14,LOS MARTIRES,URBANO,4102,LA SABANA,
14,LOS MARTIRES,URBANO,4103,VOTO NACIONAL,
14,LOS MARTIRES,URBANO,4104,LA ESTANZUELA,
14,LOS MARTIRES,URBANO,4105,EDUARDO SANTOS,
14,LOS MARTIRES,URBANO,4106,EL VERGEL,
14,LOS MARTIRES,URBANO,4107,SANTA ISABEL SUR,
14,LOS MARTIRES,URBANO,4108,SANTA ISABEL,
14,LOS MARTIRES,URBANO,4109,VERAGUAS,
14,LOS MARTIRES,URBANO,4110,LA PEPITA,
14,LOS MARTIRES,URBANO,4111,EL PROGRESO,
16,PUENTE ARANDA,URBANO,4201,PENSILVANIA,
16,PUENTE ARANDA,URBANO,4202,COMUNEROS,
16,PUENTE ARANDA,URBANO,4203,LA ASUNCION,
16,PUENTE ARANDA,URBANO,4204,MONTES,
16,PUENTE ARANDA,URBANO,4205,PRIMAVERA,
,,,,OCCIDENTAL,
16,PUENTE ARANDA,URBANO,4206,SAN FRANCISCO,
16,PUENTE ARANDA,URBANO,4207,GORGONZOLA,
16,PUENTE ARANDA,URBANO,4208,LOS EJIDOS,
16,PUENTE ARANDA,URBANO,4209,SANTA MATILDE,
16,PUENTE ARANDA,URBANO,4210,JORGE GAITAN CORTES,
16,PUENTE ARANDA,URBANO,4211,BOCHICA,
16,PUENTE ARANDA,URBANO,4212,TIBANA,
16,PUENTE ARANDA,URBANO,4301,SAN RAFAEL INDUSTRIAL,
16,PUENTE ARANDA,URBANO,4302,SAN RAFAEL,
16,PUENTE ARANDA,URBANO,4303,BARCELONA,
16,PUENTE ARANDA,URBANO,4304,GALAN,
16,PUENTE ARANDA,URBANO,4305,LA PRADERA,
16,PUENTE ARANDA,URBANO,4306,LA TRINIDAD,
16,PUENTE ARANDA,URBANO,4307,SAN GABRIEL,
16,PUENTE ARANDA,URBANO,4308,COLON,
16,PUENTE ARANDA,URBANO,4309,LA CAMELIA,
16,PUENTE ARANDA,URBANO,4310,PROVIVIENDA NORTE,
8,KENNEDY,URBANO,4316,LAS MARGARITAS,
16,PUENTE ARANDA,URBANO,4317,CAMELIA II,
16,PUENTE ARANDA,URBANO,4401,SAN EUSEBIO,
16,PUENTE ARANDA,URBANO,4402,REMANSO,
16,PUENTE ARANDA,URBANO,4403,AUTOPISTA MUZU,
16,PUENTE ARANDA,URBANO,4404,AUTOPISTA SUR,
